utp_id;cd_mun;nm_mun
631;2407005;2407005
631;2403301;2403301
631;2402907;2402907
631;2414753;2414753
631;2410009;2410009
631;2400406;2400406
631;2409407;2409407
631;2408607;2408607
631;2407302;2407302
631;2406007;2406007
631;2403202;2403202
631;2410207;2410207
631;2304277;2304277
631;2306009;2306009
631;2412500;2412500
631;2410801;2410801
60;2409803;2409803
60;2407708;2407708
60;2408300;2408300
310;2402204;2402204
310;2413201;2413201
310;2401404;2401404
310;2415008;2415008
310;2414209;2414209
6;2512002;2512002
6;2515104;2515104
6;2509503;2509503
6;2512705;2512705
6;2501104;2501104
6;2506004;2506004
6;2501203;2501203
6;2500403;2500403
6;2500577;2500577
263;2504108;2504108
263;2502052;2502052
263;2512036;2512036
263;2513307;2513307
263;2503308;2503308
263;2512077;2512077
263;2509602;2509602
263;2514503;2514503
263;2502409;2502409
263;2503704;2503704
263;2516805;2516805
263;2500700;2500700
263;2516904;2516904
263;2502201;2502201
263;2513653;2513653
65;2501575;2501575
65;2507200;2507200
65;2500304;2500304
65;2502151;2502151
65;2501302;2501302
65;2508307;2508307
65;2517001;2517001
65;2509206;2509206
65;2506251;2506251
65;2513158;2513158
65;2515807;2515807
65;2509339;2509339
65;2512408;2512408
65;2509909;2509909
65;2502508;2502508
65;2512507;2512507
65;2504355;2504355
65;2506103;2506103
65;2504009;2504009
65;2500536;2500536
477;2513356;2513356
477;2504405;2504405
477;2513505;2513505
477;2506608;2506608
NOVA10;2501534;2501534
NOVA10;2501609;2501609
NOVA10;2505105;2505105
NOVA10;2510303;2510303
NOVA10;2506202;2506202
NOVA10;2511400;2511400
NOVA10;2510105;2510105
NOVA10;2516151;2516151
326;2505709;2505709
326;2503506;2503506
326;2505352;2505352
326;2501005;2501005
119;2509800;2509800
119;2504157;2504157
119;2501500;2501500
119;2515906;2515906
119;2508554;2508554
119;2515930;2515930
119;2511608;2511608
119;2508208;2508208
119;2505204;2505204
119;2511707;2511707
119;2500908;2500908
119;2502706;2502706
119;2505808;2505808
119;2506301;2506301
119;2516003;2516003
119;2515609;2515609
119;2500809;2500809
119;2511806;2511806
119;2500502;2500502
119;2503605;2503605
119;2501906;2501906
NOVA4;2511509;2511509
NOVA4;2506400;2506400
NOVA4;2513109;2513109
NOVA4;2514453;2514453
NOVA4;2512754;2512754
NOVA4;2515005;2515005
NOVA4;2507606;2507606
NOVA4;2509404;2509404
NOVA4;2506806;2506806
NOVA4;2503803;2503803
NOVA4;2506905;2506905
NOVA4;2507903;2507903
543;2510204;2510204
543;2500205;2500205
543;2505907;2505907
543;2502102;2502102
543;2502607;2502607
543;2511301;2511301
543;2515708;2515708
543;2505600;2505600
543;2514305;2514305
543;2507002;2507002
543;2504801;2504801
543;2505303;2505303
543;2513604;2513604
185;2515971;2515971
185;2504603;2504603
185;2512903;2512903
185;2507507;2507507
185;2512762;2512762
185;2503209;2503209
185;2500601;2500601
185;2513703;2513703
185;2511202;2511202
185;2508604;2508604
185;2509107;2509107
185;2503001;2503001
185;2501807;2501807
185;2515302;2515302
185;2504900;2504900
185;2511905;2511905
205;2505238;2505238
205;2505279;2505279
205;2501401;2501401
205;2512721;2512721
205;2509305;2509305
205;2508901;2508901
205;2509057;2509057
205;2507309;2507309
205;2504033;2504033
205;2507101;2507101
595;2612802;2612802
595;2614600;2614600
595;2504702;2504702
595;2515203;2515203
595;2503902;2503902
595;2513943;2513943
595;2614402;2614402
595;2503100;2503100
595;2512788;2512788
595;2516300;2516300
595;2602506;2602506
595;2510659;2510659
595;2606903;2606903
595;2515500;2515500
595;2500734;2500734
595;2501708;2501708
595;2607109;2607109
595;2512200;2512200
595;2517407;2517407
595;2504850;2504850
595;2615904;2615904
595;2514008;2514008
595;2504074;2504074
595;2509701;2509701
595;2613602;2613602
595;2607703;2607703
595;2614105;2614105
595;2506707;2506707
595;2510600;2510600
595;2514107;2514107
244;2514602;2514602
244;2514701;2514701
244;2513406;2513406
244;2503407;2503407
244;2512606;2512606
244;2507804;2507804
244;2514404;2514404
244;2508802;2508802
244;2504504;2504504
244;2509396;2509396
